source,chars,gt_clearance,gt_department,gt_doc_type,gt_topic,llm_clearance,llm_department,llm_doc_type,llm_topic,llm_reasoning,latency_s,parse_retries,clearance_exact,clearance_fn,clearance_fp,department_exact,doc_type_exact
Witty-QuickGuide-EN.pdf,2249,0,all,manual,Witty Timer hardware quick start guide,0,all,guide,"Quick guide for using the Witty Manager software and hardware, including user manual and installation instructions.","Public product specs, safe to share externally. No sensitive information or confidential content.",6.51,0,True,False,False,True,False
Witty-Financial-Report-2025.pdf,2458,3,finance,report,Witty product line Q3 2025 financial performance,3,finance,report,Quarterly financial report and performance analysis for Witty Product Line,"Confidentiality level is STRICTLY CONFIDENTIAL, indicating sensitive information about company performance and R&D plans.",7.66,0,True,False,False,True,True
distribution-contract-2026.docx,1059,2,legal,contract,Exclusive distribution contract for Witty Timer in Spain,3,legal,contract,"Exclusive distribution agreement for Witty Wireless Training Timer in Spain, including confidentiality and payment terms","Contract with explicit financial details (IBAN/SWIFT record), strict confidentiality clauses, and legal department involvement.",7.82,0,False,False,True,True,True
server_logs_witty_backend.txt,653,2,engineering,log,Witty Manager API backend server logs,2,all,log,System alert and auto-recovery details following high CPU usage and failed login attempt,"Log entries with system alerts, error messages, and recovery actions indicate a critical incident requiring immediate attention",7.2,0,True,False,False,False,True
clients-and-billings.xlsx,538,3,sales,spreadsheet,Client database with billing and support tier info,2,all,directory,Structured listing of clients and their contact information for the company,"Client directory with names, email addresses, and facturación (billing) amounts, indicating a general overview of client data",6.57,0,False,True,False,False,False
fin_q1_2026_revenue.txt,1129,3,finance,report,Q1 2026 revenue and financial performance,2,finance,report,Quarterly revenue report with financial analysis and regional breakdowns,"Confidential document with explicit financial figures, but no sensitive information about individuals or proprietary systems.",6.42,0,False,True,False,True,True
fin_budget_forecast_2027.txt,1077,3,finance,report,2027 budget forecast and capital planning,3,finance,contract,"2027 budget forecast and investment plan details, including R&D allocation and personnel costs","Strictly confidential document with explicit financial figures, company-specific details, and sensitive information about personnel costs and capital expenditures.",6.94,0,True,False,False,True,False
fin_expense_policy.md,1159,1,all,policy,Corporate expense and reimbursement policy,2,finance,policy,"Corporate expense policy guidelines for travel, equipment purchases, reimbursement, and corporate credit card use","Policy document with financial details, but no sensitive data or individual names. Department-specific content, suitable for finance department review.",6.64,0,False,False,True,False,True
hr_employee_directory.txt,999,3,hr,directory,Employee directory with personal identification data,2,legal,directory,List of employees in the Legal Department with their DNI numbers,"Document contains employee information, but only accessible to legal personnel",5.93,0,False,True,False,False,True
hr_onboarding_guide.md,1297,0,all,guide,New employee onboarding procedures and contacts,1,all,memo,New employee onboarding guide with IT setup and security awareness instructions,"Company-wide policy document, not sensitive or confidential information",6.02,0,False,False,True,True,False
hr_salary_bands_2026.txt,957,3,hr,report,Salary bands and compensation structure for all departments,3,hr,unknown,"Detailed salary bands and compensation structure for various departments within the company, including engineering, sales, finance, and HR.","Strictly confidential document with sensitive financial information, specifically payroll details and IBAN records.",7.34,0,True,False,False,True,False
it_server_logs_march_2026.txt,1164,2,engineering,log,Server infrastructure logs for March 2026 maintenance window,0,all,log,"Daily system health check initiated on cluster node-01, database backup completed successfully, and maintenance window opened.","Log entries with no sensitive information, safe to share externally.",7.56,0,False,True,False,False,True
it_incident_report_IR2026_003.txt,1214,2,engineering,report,Security incident report for brute-force attack on API endpoint,2,engineering,log,"Incident report detailing a brute-force attack against the Witty Manager API authentication endpoint, including root cause and remediation steps.","Confidential document with technical details of an incident response, indicating moderate financial detail.",7.28,0,True,False,False,True,False
it_vpn_config_guide.md,1043,1,engineering,guide,VPN configuration and network topology documentation,2,engineering,guide,Internal WireGuard VPN configuration guide for remote employees,"Engineering department content, technical documentation with specific details on VPN setup and troubleshooting",6.46,0,False,False,True,True,True
contract_federacion_atletismo.txt,1193,2,legal,contract,Supply contract with Spanish Athletics Federation for Witty Timers,2,legal,contract,Legal agreement between Microgate S.R.L. and Federación de Atletismo de España for the supply of Witty Wireless Training Timer products,"Contract with explicit legal terms, including payment conditions and warranty details",7.49,0,True,False,False,True,True
contract_universidad_deporte.txt,1147,2,legal,contract,Academic collaboration agreement with Universidad del Deporte,2,legal,contract,Academic collaboration agreement between Microgate and Universidad del Deporte for biomechanics research using Witty Timer,"Contract with explicit terms, financial details, and confidential clauses, indicating a moderate level of sensitivity.",7.31,0,True,False,False,True,True
contract_fitplus_maintenance.txt,980,2,sales,contract,Service level agreement with FitPlus gyms for Witty Timer maintenance,2,all,contract,Service Level Agreement between Microgate S.R.L. and Gimnasios FitPlus S.L.,"Contract with explicit terms, parties, and pricing details, indicating a formal agreement.",6.83,0,True,False,False,False,True
product_witty_timer_specs.md,876,0,all,manual,Witty Timer technical specifications and hardware details,0,all,manual,Technical specifications and hardware details of the Witty Wireless Training Timer product,"Public product specs, safe to share externally.",5.75,0,True,False,False,True,True
product_photocell_alignment.md,1548,0,all,manual,"Photocell alignment, calibration, and multi-gate configuration",0,all,guide,Photocell alignment and calibration guide for Witty Photocell v3.x and v4.x,"Public technical documentation, safe to share externally.",6.64,0,True,False,False,True,False
product_release_notes_v4.txt,964,0,all,changelog,Witty Manager software v4.2.0 release notes and bug fixes,0,all,unknown,"Release notes for Witty Manager Software v4.2.0, highlighting new features and bug fixes","Public release notes with no sensitive information, suitable for external sharing.",6.83,0,True,False,False,True,False
memo_q2_sales_targets.txt,1059,1,sales,memo,Internal sales targets and key account strategy for Q2 2026,1,sales,memo,Internal sales team update on Q2 targets and key accounts to prioritize,"Company-wide announcement with no sensitive information, suitable for internal distribution.",6.41,0,True,False,False,True,True
memo_it_security_reminder.txt,1423,1,all,memo,Company-wide security awareness reminder after incident,1,all,memo,Internal security awareness reminder with password policy and phishing prevention guidelines,"Company-wide internal memo with no sensitive information, suitable for all employees",6.37,0,True,False,False,True,True
memo_board_meeting_minutes.txt,1285,3,finance,minutes,Board meeting minutes with strategic decisions and financial data,3,finance,minutes,"Board meeting minutes covering quarterly financials, product strategy updates, legal exclusivity agreements, and HR matters","Confidential document with explicit financial figures, strategic decisions, and sensitive information about employees and contracts.",7.0,0,True,False,False,True,True
