qid,question,kind,primary,a_pick,a_confidence,a_latency_s,a_ctx_tokens,a_hallucinated,a_reasoning,a_primary_ok,a_accept_ok,b_pick,b_top_doc,b_distance,b_latency_s,b_primary_ok,b_accept_ok
Q01,What UDP port must the firewall allow for the corporate VPN client to connect?,direct,IT,IT,1.0,4.093,789,False,Primary IT collection contains VPN configuration guide with gateway hostnames and network topology.,True,True,IT,it_vpn_config_guide.md,0.4512,0.0117,True,True
Q02,How do I align the photocells on the training timer and verify the beam?,direct,OPERATIONS,OPERATIONS,0.9,3.966,788,False,Primary collection for product hardware and technical procedures.,True,True,OPERATIONS,product_photocell_alignment.md,0.4018,0.0125,True,True
Q03,Where can I find the onboarding checklist for my first day at the office?,direct,HR,HR,1.0,4.231,788,False,Primary HR collection contains authoritative employee directory and new-hire onboarding guide.,True,True,HR,hr_onboarding_guide.md,0.4662,0.0178,True,True
Q04,Which board members authorised the 2027 R&D budget?,direct,FINANCE,LEGAL,0.9,4.775,783,False,"Query spans legal and finance departments, but authoritative answer resides in Legal collection.",False,False,FINANCE,fin_budget_forecast_2027.txt,0.5425,0.0123,True,True
Q05,What root cause was identified for the brute-force attack on the API login endpoint?,direct,IT,IT,1.0,4.139,791,False,Primary collection for security incidents and incident reports.,True,True,IT,it_incident_report_IR2026_003.txt,0.4998,0.0128,True,True
Q06,What is the warranty clause in the Spanish-Federation supply contract?,direct,LEGAL,LEGAL,1.0,4.046,787,False,"Query spans Legal department, where authoritative answers reside.",True,True,LEGAL,distribution-contract-2026.docx,0.5077,0.0099,True,True
Q07,What is the process for reimbursing business travel expenses for a new hire?,ambiguous,FINANCE,HR,0.9,4.152,789,False,Reimbursement policy and onboarding guide are primary HR resources.,False,True,FINANCE,fin_expense_policy.md,0.6282,0.0269,True,True
Q08,What salary band applies to a Senior Developer in the engineering team?,ambiguous,HR,HR,0.9,3.985,788,False,Primary HR collection for personnel records and pay ranges.,True,True,HR,hr_salary_bands_2026.txt,0.7164,0.0111,True,True
Q09,What financial penalty applies if we miss the FitPlus gym maintenance SLA?,ambiguous,LEGAL,LEGAL,0.9,4.397,788,False,"SLA is a contractual term, and penalties are specified in the service-level maintenance agreement.",True,True,LEGAL,contract_fitplus_maintenance.txt,0.5764,0.011,True,True
Q10,Which IBAN do we use to collect the quarterly payments from the Spanish distributor?,ambiguous,LEGAL,FINANCE,1.0,4.184,791,False,"Financial reports contain payment details, including IBAN for quarterly payments.",False,True,LEGAL,distribution-contract-2026.docx,0.6483,0.0098,True,True
