qid,query,category,user_cl,user_dept,description,intent,alpha_dyn,base_mrr,dyn_mrr,base_rel3,dyn_rel3,base_rel5,dyn_rel5,base_first_rank,dyn_first_rank,delta_mrr,delta_rank
E1,IBAN bank account for international transfers SWIFT code,exact,3,finance,IBAN/SWIFT across multiple docs,exact_critical,0.2,1.0,1.0,3,3,4,4,1,1,0.0,0
E2,What is the API master password set after the incident?,exact,2,engineering,Password in incident report,exact_critical,0.2,0.5,0.5,1,1,1,1,2,2,0.0,0
E3,DNI identification number for employee Marco Bianchi EMP-001,exact,3,hr,DNI + employee ID lookup,exact_critical,0.2,1.0,1.0,3,3,5,5,1,1,0.0,0
E4,CLI-004 David Silva dsilva@fitplus.com maintenance contract,exact,2,sales,Client ID cross-reference,exact,0.2,1.0,1.0,3,3,3,3,1,1,0.0,0
E5,IP address 203.0.113.42 SSH failed login attempts,exact,2,engineering,Specific IP in server logs,exact,0.2,1.0,1.0,3,3,3,3,1,1,0.0,0
E6,server logs brute-force attack IP 185.220.101.34,exact,2,engineering,Attack IP in incident report,exact,0.2,1.0,1.0,2,2,2,2,1,1,0.0,0
C1,What is the overall financial performance and revenue breakdown for the company?,conceptual,3,finance,High-level financial summary,conceptual,0.8,1.0,1.0,2,3,3,3,1,1,0.0,0
C2,Describe the company's R&D strategy and technology investment plans,conceptual,3,finance,R&D strategy overview,conceptual,0.8,1.0,1.0,2,1,2,2,1,1,0.0,0
C3,What are the technical specifications and features of the Witty Timer product?,conceptual,0,all,Product specs,conceptual,0.8,1.0,1.0,2,2,2,2,1,1,0.0,0
C4,Explain the company's security policies and how employees should handle data,conceptual,0,all,Security policy overview,conceptual,0.8,1.0,1.0,1,1,1,1,1,1,0.0,0
C5,What is the compensation structure and how are salaries organized?,conceptual,3,hr,Salary bands summary,mixed_exact_lean,0.35,1.0,1.0,1,1,2,1,1,1,0.0,0
C6,How should photocells be aligned and calibrated for training sessions?,conceptual,0,all,Photocell guide,conceptual,0.8,1.0,1.0,3,3,5,5,1,1,0.0,0
M1,What was decided about the distribution contract with Carlos Mendoza at the board meeting?,mixed,3,finance,Board decision about contract,mixed_concept_lean,0.65,1.0,1.0,1,1,1,2,1,1,0.0,0
M2,What is the Q2 sales target and which key accounts like CLI-001 should be prioritized?,mixed,1,sales,Sales targets + client IDs,mixed_concept_lean,0.65,1.0,1.0,3,3,3,3,1,1,0.0,0
M3,What are the payment terms in the Federación de Atletismo supply contract?,mixed,2,legal,Contract payment details,conceptual,0.8,1.0,1.0,1,1,1,1,1,1,0.0,0
M4,Explain the VPN network topology and what is the production database IP range,mixed,1,engineering,VPN + IP topology,conceptual,0.8,1.0,1.0,2,2,4,4,1,1,0.0,0
